channel,size,invocations-lambda,value_type,value
storage,1,100,producer_retries,5
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,2
storage,1,100,producer_retries,1
storage,1,100,producer_retries,5
storage,1,100,producer_retries,6
storage,1,100,producer_retries,10
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,5
storage,1,100,producer_retries,2
storage,1,100,producer_retries,1
storage,1,100,producer_retries,4
storage,1,100,producer_retries,4
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,6
storage,1,100,producer_retries,1
storage,1,100,producer_retries,2
storage,1,100,producer_retries,6
storage,1,100,producer_retries,3
storage,1,100,producer_retries,0
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,2
storage,1,100,producer_retries,1
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,1
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,2
storage,1,100,producer_retries,2
storage,1,100,producer_retries,1
storage,1,100,producer_retries,5
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,3
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,2
storage,1,100,producer_retries,3
storage,1,100,producer_retries,3
storage,1,100,producer_retries,4
storage,1,100,producer_retries,5
storage,1,100,producer_retries,1
storage,1,100,consumer_retries,2
storage,1,100,consumer_retries,4
storage,1,100,consumer_retries,4
storage,1,100,consumer_retries,3
storage,1,100,consumer_retries,4
storage,1,100,consumer_retries,0
storage,1,100,consumer_retries,0
storage,1,100,consumer_retries,11
